Experiment,Created,Number of Documents,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,step,Coherence,Perplexity,RANDOM_SEED,train_data_path,test_data_path,procd_text,extract_sample.fraction,extract_sample.stratify_column,feature_engineering.bow,feature_engineering.tfidf,feature_engineering.ngram,feature_engineering.bert,feature_engineering.bert_pretrained_model,clustering_bert.algorithm,clustering_bert.num_clusters,clustering_bert.eps,clustering_bert.min_samples,topic_modeling.feature,topic_modeling.algorithm,topic_modeling.cluster,topic_modeling.num_topics
anile-hold,07:36 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.42401724818655817,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,False,20.0
legal-weal,07:35 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4360547253483598,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,False,18.0
store-ciao,06:47 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.43261797394854695,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,False,16.0
strip-sike,06:46 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4454952484670279,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,False,14.0
pavid-mash,06:39 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.35966782005006825,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,True,20.0
unfed-yack,06:37 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.44865342696070387,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,False,12.0
macro-bold,06:27 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.35766986928119665,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,True,18.0
platy-scab,06:25 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3507469650412146,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,True,16.0
osmic-froe,06:14 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3656549062893745,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,True,14.0
oiled-outs,06:11 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3568752634256481,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,nmf,True,12.0
