Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,clustering_bert.algorithm,clustering_bert.num_clusters
0.3445257246494293,1.4247950676680976,10877.292131164653,kmeans,2.0
0.3442874848842621,1.4291363877595669,10798.413151774714,hierarchical,2.0
0.1483877599239349,1.8592025850769789,7189.157006999953,kmeans,3.0
0.2493679821491241,1.770694724341924,7004.087299801991,hierarchical,3.0
0.1164872869849205,2.241018637025707,5982.608125373813,kmeans,4.0
0.1131161823868751,2.2810871369004397,5800.100291797775,hierarchical,4.0
0.1072402372956276,2.256001525158395,4945.77244253588,kmeans,5.0
0.1061098277568817,2.4804030061495475,4795.2930635666,hierarchical,5.0
0.1120493188500404,2.3915610532202156,4126.60022182977,hierarchical,6.0
0.0910673588514328,2.329607597130518,4268.587527882656,kmeans,6.0
0.0770019516348838,2.4749761164694903,3602.766423233164,hierarchical,7.0
0.0825187638401985,2.5717911418124073,3715.37659911611,kmeans,7.0
0.0784215107560157,2.5896391387827027,3400.637099503985,kmeans,8.0
0.0601856298744678,2.7780520519285297,3192.888619588006,hierarchical,8.0
0.0605838522315025,2.6454011335985883,2887.777507652383,hierarchical,9.0
0.0809707418084144,2.5493476659550263,3098.9000737353954,kmeans,9.0
0.0662914142012596,2.7338486598520495,2813.058262569381,kmeans,10.0
0.0621871799230575,2.5315943475966365,2638.907597082075,hierarchical,10.0
0.0671909004449844,2.7743924256415866,1854.5873981038508,hierarchical,15.0
0.0520922616124153,3.0157034325129275,1940.3133424219884,kmeans,15.0
0.0132749760523438,3.4990533567193927,1450.2364141012715,hierarchical,20.0
0.0318955481052398,3.199230471229377,1530.8487495953286,kmeans,20.0
0.0191639438271522,3.2405286307654175,1272.911933435877,kmeans,25.0
0.0162996798753738,3.382151016274211,1200.4476381266,hierarchical,25.0
