Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,clustering_bert.algorithm,clustering_bert.num_clusters
0.06058385223150253,2.6454011335985883,2887.777507652383,hierarchical,9.0
0.06018562987446785,2.7780520519285297,3192.888619588006,hierarchical,8.0
0.08097074180841446,2.5493476659550263,3098.9000737353954,kmeans,9.0
0.07842151075601578,2.5896391387827027,3400.637099503985,kmeans,8.0
0.07700195163488388,2.4749761164694903,3602.766423233164,hierarchical,7.0
0.11204931885004044,2.3915610532202156,4126.60022182977,hierarchical,6.0
0.10610982775688171,2.4804030061495475,4795.2930635666,hierarchical,5.0
0.11311618238687515,2.2810871369004397,5800.100291797775,hierarchical,4.0
0.24936798214912415,1.770694724341924,7004.087299801991,hierarchical,3.0
0.08251876384019852,2.5717911418124073,3715.37659911611,kmeans,7.0
0.0910673588514328,2.329607597130518,4268.587527882656,kmeans,6.0
0.1072402372956276,2.256001525158395,4945.77244253588,kmeans,5.0
0.1164872869849205,2.241018637025707,5982.608125373813,kmeans,4.0
0.14838775992393494,1.8592025850769787,7189.157006999953,kmeans,3.0
0.062187179923057556,2.5315943475966365,2638.907597082075,hierarchical,10.0
0.01629967987537384,3.382151016274211,1200.4476381266,hierarchical,25.0
0.013274976052343845,3.4990533567193927,1450.2364141012715,hierarchical,20.0
0.06719090044498444,2.7743924256415866,1854.5873981038508,hierarchical,15.0
0.019163943827152252,3.2405286307654175,1272.911933435877,kmeans,25.0
0.03189554810523987,3.199230471229377,1530.8487495953286,kmeans,20.0
0.052092261612415314,3.0157034325129275,1940.3133424219884,kmeans,15.0
0.06629141420125961,2.7338486598520495,2813.058262569381,kmeans,10.0
